category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y,player_id,player_name,position,event_id,home_team,away_team,match_date
passes,pass,True,True,False,,13.2,50.2,30.1,56.7,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,34.5,55.0,36.9,65.6,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,18.4,48.2,21.8,41.2,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,False,False,,14.4,66.8,44.9,81.4,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,15.7,51.1,30.3,19.1,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,8.8,52.7,43.8,79.9,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,19.4,39.7,32.9,37.7,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,7.1,47.4,37.6,33.0,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,21.5,64.0,28.0,58.3,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,False,False,,4.1,53.0,24.6,27.3,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,False,False,,12.5,38.9,65.3,25.4,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,8.9,51.5,31.4,87.4,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,14.8,52.1,24.4,60.2,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,24.9,49.1,27.8,67.3,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,11.3,52.3,22.9,69.1,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,10.5,46.5,22.3,20.7,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,13.8,40.0,21.9,64.3,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,13.3,51.5,20.3,47.9,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,18.9,32.1,23.7,61.5,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,True,False,,7.8,53.3,11.9,35.4,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
passes,pass,True,False,False,,9.3,32.7,52.5,29.1,191210,Mike Maignan,G,12813008,France,Spain,2026-07-14T19:00:00+00:00
