category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y,player_id,player_name,position,event_id,home_team,away_team,match_date
ball-carries,ball-carry,False,False,False,,35.5,49.0,41.3,57.2,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,25.7,74.9,8.0,87.2,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,16.9,83.1,19.8,74.6,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,32.2,64.2,36.7,67.1,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,56.4,79.8,55.3,73.1,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,38.1,56.6,40.2,53.6,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,41.4,63.3,53.1,40.6,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,68.2,96.8,64.8,93.5,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,19.4,74.0,20.6,68.7,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,67.1,96.8,64.2,95.3,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,42.9,71.1,39.4,73.1,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,63.1,65.6,64.6,60.2,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,20.9,39.2,33.1,21.8,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,26.7,18.1,33.4,18.9,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,45.7,53.6,52.4,52.1,827606,Rodri,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,38.7,72.0,36.5,68.9,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,46.2,33.4,53.9,32.9,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,33.6,74.4,41.3,74.9,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,43.5,50.0,45.1,44.8,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,21.3,65.4,23.0,73.4,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,65.2,50.0,67.7,52.5,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
ball-carries,ball-carry,False,False,False,,46.5,71.6,56.8,78.2,784655,Fabián Ruiz,M,12813008,France,Spain,2026-07-14T19:00:00+00:00
